"ID","Function","Potential Failure Mode","Image1 - Failure Mode","Image2 - Failure Mode","TDM","SPR","Potential Failure Effects","SEVERITY","Potential Causes","Image - Root Cause","OCCURRENCE","Preventive Controls","Image - Prevention","Detection Controls","Image - Detection","DETECTION","RPN","PFMEA Linkage","SPRRefLink","JIRA","JIRARefLink"
"75","Switch","Broken solder joints","qualib439_pic1.png",,"QUAL-LIB-439","SPR 30912","Unable to operate switch resulting to function loss.","6","Lack of mechanical support to withstand lateral forces",,"4","Select switch designs with mechanical PCB through hole support or add supporting mechanical features.
Specified minimum actuation life to be no lower than 1M cycle.
 ","qualib439_pic2.png","Switch or Button actuation life test.
Perform actuation life test with applied force 1.5x the specified actuation force.",,"4","96","No",,,
"76","Switch","Power button takes excessive force to depress","qualib580_pic1.png",,"QUAL-LIB-580","SPR 33931
SPR 34891
","Terminal does not power on or off or is very difficult to power on or off","8","Power button flex dome shifted such that no electric contact is made between the dome center and the plated gold area on the flex.
Flex is floating design but no sufficient surface area for Mylar adhesive to bond to the substrate.
Tolerance stack up.",,"4","Fixed mount dome designs should be chosen over floating dome designs when possible.
The dome-retaining Mylar must have enough surface around the dome to avoid Mylar to lift over time- refer to the dome switch design guidelines for surface area.
Avoid any steps under the Mylar and dome layer which can result in lift.
Any external plunger for power button activation must be fully aligned with center of terminal power button and switch.",,"Switch actuation life test.",,"3","96","No",,,
"77","Trigger","Side trigger actuator post wearing through rubber","qualib597_pic1.png",,"QUAL-LIB-597","SPR 37082
SPR 37593","Unable to activate scan button.","8","Button post design allow for premature wear out of rubber pill resulting to puncture over time.
",,"4","Button post should be designed for a distributed actuation force load instead of point load.
Actuation life to be specified according to customer use case.

","qualib597_pic2.png","Button actuation life test.
Teardown inspection.
",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=37082",,
"78","Switch","Premature button failure in freezer environment","qualib617_pic1.png",,"QUAL-LIB-617","SPR 37052
SPR 36324","Unable to activate button resulting to function loss.","6","Button does not withstand 1 million actuations at cold because the button gold plating wears away.
Gold plating wears away because debris is allowed to enter between the button plunger and the gold plating.
Debris enters because the enter key membrane tears.
The enter key membrane tears due to the abrasive action of frozen environmental moisture.",,"4","Actuation life specification must match customer use-case.
Material selection e.g. silicon membrane temperature rating must match the target operating temperature.
",,"Actuation life test.
Teardown inspection.",,"4","96","No",,,
"79","Acoustics and Audio","Poor acoustics performance","qualib440_pic1.png",,"QUAL-LIB-440",,"MIC not working","4","Acoustic seal interference with adjacent key.",,"4","Mold design and pin insert must be in perfect alignment.
Design must provide for proper seal components to fit for adjacent keys to operate.
No parting lines on critical surfaces.
Keypad membrane spec should call out for proper trimming requirements.",,"First Article Inspection on samples from every cavity to confirm compliance with design requirements.
Final test in MFG should include audio quality and echo testing.
Teardown inspection after Drops, Tumble, AFM to confirm no movement in placement of seal components.
Check for tactile feel of all adjacent keys to mic hole.",,"5","80","No",,,
"80","Acoustics and Audio","Speaker not working","qualib441_pic1.png",,"QUAL-LIB-441",,"No audio output from Speaker","6","Coil wire fatigue",,"4","Design to meet requirements of MAX drive level receiver test 00-MA71-TPR01.
Design to meet requirements of MAX drive level speaker test 00-MA71-TPS01.
Design to meet requirements of Speaker Stress test. 
",,"Submit samples for Build-As-Designed analysis 00-MA71-BAD01.",,"4","96","No",,,
"81","Acoustics and Audio","Receiver not working","qualib442_pic1.png",,"QUAL-LIB-442",,"Poor signal reception","6","Coil wire fatigue",,"4","Design to meet requirements of MAX drive level receiver test 00-MA71-TPR01.
Design to meet requirements of MAX drive level speaker test 00-MA71-TPS01.
Design to meet requirements of Speaker Stress test.",,"Submit samples for Build-As-Designed analysis 00-MA71-BAD01.",,"4","96","No",,,
"82","Acoustics and Audio","Variation in Receiver volume and audio quality","qualib505_pic1.png",,"QUAL-LIB-505","SPR 27794","Low volume level and low tone","5","The pressure outside and inside of the device is not able to equalize affecting the audio performance when SD card door is inserted to Terminal.",,"4","Provision of an actual vent hole in the design of products with with voice communication feature while maintaining IP Seal requirements.
Acoustic chamber must be immune from effects of pressurize enclosure such as SD covers, Seal covers, Battery, Labels, etc.
Enclosure pressure must be equalized if audio components are used and device supports voice applications.
",,"Perform acoustic test measurements in production on complete units with all seals in place, SD card door, battery, Labels, etc.
Verify torque setting on screw assembly for audio components.",,"6","120","Yes","https://spr.zebra.com/ViewSPR.aspx?sprID=27794",,
"83","Acoustics and Audio","ECL test failure","qualib609_pic1.png",,"QUAL-LIB-609","JIRA Acoustics-316","Poor audio quality and IP seal compromised","6","Assembly stack-up and required compression to provide IP seal causing wrinkles on the membrane.",,"4","Design should incorporate stack-up and compression to provide sealing and not compromise membrane flatness.
Membrane material selection should consider sealing requirements and assembly stack design intent.
Acoustic chamber boot design should be repeatable and reproducible for assembly in MFG.","qualib609_pic2.png","Engineering test on acoustic test limits",,"4","96","No",,"Acoustics-316","https://jira.zebra.com/browse/ACOUSTICS-316"
"85","Power","Broken Power Connector","qualib449_pic1.png",,"QUAL-LIB-449",,"Unable to power up terminal","8","Insufficient connector mechanical support",,"4","Add mechanical anchor re-inforcement on connectors",,"Bend test with cable attached to terminal",,"3","96","No",,,
"86","USB","Not charging through USB port","qualib615_pic1.png",,"QUAL-LIB-615",,"Loss of USB function","6","USB connector solder joint cracked on impact during drop test.  Small material thickness of IO dongle could be susceptible to cracking on impact shock.  
Alignment features not sufficient to prevent movement of PCB and material thickness not adequate to prevent damage on impact.","qualib615_pic2.png","4","Mechanical design around the USB connector should have adequate alignment features to prevent movement and avoid collision with housing or other mechanical parts.

The material thickness at the critical drop points should be as thick as possible and the radius as large as possible.  Recommended thickness of housing is over 0.8mm and radius larger than 0.5mm.

Add requirements for Melt Flow Index (MFI) on 2D drawing.","qualib615_pic3.png","Drop Test
Tumble test
MFI test at supplier
Break force test at supplier",,"3","72","No",,,
"87","Battery and Interconnect","Solder fracture and/or Pad Cratering at blade connector to PCB solder joint","qualib602_pic1.png",,"QUAL-LIB-602",,"Failure to operate","8","Design allowed too much movement between the battery and device.
The connector blades move with the battery separate from the rest of the device.
Stress is transferred to the solder joints connecting to the board.
Solder joint may not be sufficiently strong to withstand level of stress and should not be used as the only mechanical strengthening element.",,"4","Movement of battery relative to device during stress should be eliminated to minimized.
Strengthen the means of fixing the connector to the board to withstand additional stresses e.g. clips, retaining structure, pin-through-hole, etc.
Identify Critical-to-Quality (CTQ) parts or assembly aspects of the design.",,"Drop test
Tumble test
mini-AFM (test above spec)
Ensure CPK of greater than 1.6 for critical dimensions on battery and related battery compartment features.",,"3","96","No",,"ME-7455","https://jira.zebra.com/browse/ME-7455"
"88","Connectors and Flex Plating","LCD connector cracking at the sides","qualib474_pic1.png",,"QUAL-LIB-474",,"Display not working","8","Material is brittle.  The high glass fiber content to wall thickness ratio around the walls and sharp corners could make the connector susceptible to cracking based on flex constraints caused by LCD frame.",,"4","Material selection.  Choose connector with less brittle material.
Verify material temperature limits.
Design around connector to off-load stresses by ensuring that flex radii is adequate to minimize lateral movement during drops.",,"Drop test
Tumble test
Design margin test (above spec testing)",,"3","96","No",,,
"89","Connectors and Flex Plating","Galvanic Corrosion, Anodic, Cathodic Corrosion","qualib475_pic1.png",,"QUAL-LIB-475","SPR 17378","Device goes to suspend when pressed in specific location","7","Use of dis-similar metals in the design of mating parts.",,"4","Select similar connector and mating flex plated surfaces (refer to MIL-STD-889 guidelines).  Tin flex use only Tin plated mating connector contact leads.  Gold flex use only gold pated mating connector leads. Gold is the preferred plating surface.
Maintain design guidelines to ensure basis for avoiding galvanic corrosion.
Do not allow one supplier control the flex and a different supplier control the connector.
Maintain BOM compliance to ensure multiple sourcing error does not occur.
",,"Thermal Shock
High Temperature and Humidity test
Teardown inspection following test exposure focusing on mating surfaces
First Article Inspection to confirm compliance to plating requirements",,"3","84","No","https://spr.zebra.com/ViewSPR.aspx?sprID=17378",,
"90","Connectors and Flex Plating","Corrosion on Contact between Keypad Flex Gold Contact and Pogo Pin Connector","qualib476_pic1.png",,"QUAL-LIB-476",,"Intermittent connection resulting to intermittent operation of keypad","6","Insufficient plating thickness.
Base copper type.",,"4","Design contacts on Flex with hard gold plating at 40 +/- 10 micro inches, Electrolytic plated finish, Gold over Nickel.

Design layout that will support Electrolytic plating.

Design pogo pin contacts with hard and thick gold plating at 40 +/- 10 micro inches, Gold over Nickel, Nickel at 180 +/- 60 micro inches

Use thin adhesive with sufficient backing stiffener to prevent Flex contact force from denting when pogo pins apply force on pads.",,"Life cycle test.
Teardown inspection.",,"4","96","No",,,
"91","Connectors and Flex Plating","Sub miniature version A (SMA) connector premature failure after 20 mating/un-mating cycles","qualib478_pic1.png",,"QUAL-LIB-478",,"Unable to transmit or receive RF signals.","7","Requirement for the external antenna connector mating cycles not explicitly defined in part specs.",,"4","Life cycle requirement for Mating and Un-mating cycles of external antenna connectors must be explicitly defined in part drawing.",,"Antenna mating and un-mating life cycle test.",,"3","84","No",,,
"92","Battery and Interconnect","54% Battery Charge Level Error","qualib588_pic1.png",,"QUAL-LIB-588",,"Battery not charging. LED's indicate battery not charging and may require battery removal and re-insertion to recover.","6","Fretting corrosion on battery connector resulting from,
- vibration induced wear on both contact surfaces
- high relative movement of battery within the terminal resulting in excessive abrasion
- base material is exposed then oxidation takes place causing increased contact resistance","qualib588_pic2.png","4","Plating specifications should be in compliance to Zebra Plating Standards and Guidelines.
Perform simulation studies to evaluate relative motion/ possible wear between contact surfaces.
Reduce free movement of battery relative to the Terminal.",,"Vibration Test
Oak Box Test
Teardown inspection of contact surfaces",,"3","72","No",,,
"93","Connectors and Flex Plating","Scan engine not working","qualib589_pic1.png",,"QUAL-LIB-589","SPR 35334
SPR 36380","Unable to read barcode","8","Connector lock-bar position is too close to back housing resulting to collision during impact shock causing the lock-bar to unlock.
Use of Kapton tape as reinforcement for the lock-bar which is not reliable due to effects of temperature on tape adhesion.","68d178ac-d47f-491e-b10a-963a31cd47df.png","4","Increase distance between components that could collide during impact shock or add features such as radiuses to allow for maximum gap. ",,"Drop Test
Tumble Test
Teardown Inspection",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=35334",,
"94","Connectors and Flex Plating","Free hanging ferrite causes flex to disconnect","qualib591_pic1.png",,"QUAL-LIB-591","SPR 35281","Loss of ethernet function","7","Ethernet flex connecting the main board and 4-slot board either becomes disconnected or damaged due to relative movement between the ferrite and the PCB which is caused by the ferrite not being secured.",,"4","Design should not allow for any unsupported mass or suspended from an electrical flex.",,"Drop Test
Vibration Test",,"3","84","No","https://spr.zebra.com/ViewSPR.aspx?sprID=35281",,
"95","Connectors and Flex Plating","Cracks on FPC traces","qualib594_pic1.png",,"QUAL-LIB-594","SPR 37298","Scan engine not working, unable to read barcode","8","Excessive stress on FPC traces during 180 degree bend installation.",,"4","Design should avoid excessive bend angle during installation.
Recommended FPC trace width should be over 0.1mm.",,"Drop Test
Tumble Test
X-ray inspection of FPC traces checking for micro cracks",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=37298",,
"96","Connectors and Flex Plating","Vertical locking flex connector opens up during mechanical stresses","qualib599_pic1.png",,"QUAL-LIB-599",,"Scan engine not working, unable to read barcode","8","Vertical locking connector is unable to withstand mechanical stresses e.g. Drops, Tumbles moving to unlock position.
Application of tape including double tape as reinforcement is insufficient to prevent connector from being unlocked.",,"4","Select connector with spring loaded latch i.e. automatically springs back to the lock position e.g. Kyocera 6810 series with ""one-Touch Locking"" feature.","qualib599_pic2.png","Drop Test
Tumble Test
Teardown Inspection
X-ray Inspection of Flex connector position",,"3","96","No",,"ME-6538
ME-6543",
"97","Camera and Proximity Sensor","Camera stack height shortened after Thermal Shock","qualib480_pic1.png",,"QUAL-LIB-480",,"Camera auto-focus failure","6","Incorrect foam pad material selection",,"4","Ensure material properties of foam pad can sustain effects of Thermal Shock and terminal operating temperature range. 
Tolerance analysis should consider percentage of material shrinkage, percentage of compression, PCB/connector location/height against the exit window.",,"Thermal Shock
Operating Temperature Cycling",,"4","96","No",,,
"98","Camera and Proximity Sensor","Camera flex connector disconnected during Drop test","qualib481_pic1.png",,"QUAL-LIB-481",,"Camera inoperative","6","Camera assembly design induced pull force on connector during drops.",,"4","Design should ensure Flex material, thickness, shielding does not tug on Camera stack.
Foam/material with Flex design should be able to maintain compression over temperature.
Confirm bend or forming of flex before and after assembly.
Tolerance analysis should include PCB/connector location/height vs exit window and no interference/pressure on flex during Drops or Tumble.",,"Drop Test
Tumble Test
Teardown Inspection
X-Ray inspection ",,"4","96","No",,,
"99","Camera and Proximity Sensor","Crosstalk between LED and Receiver","qualib534_pic1.png",,"QUAL-LIB-534",,"Loss of proximity sensor function","6","Material used for Rubber Boot and Baffle caused a lift in the Touch Panel resulting to light leakage to the sensor.",,"4","Design should ensure adequate isolation between LED and Receiver.
Material selected for Rubber Boot should be able to provide adequate compression and not excess outward force.
Conduct simulation study for crosstalk.",,"Thermal Shock
Altitude Test to verify effect of change in pressure
Cpk analysis on P-sensor activation distance",,"4","96","No",,,
"100","Wi-Fi","WLAN antenna breaking off during Drops","qualib482_pic1.png",,"QUAL-LIB-482",,"Loss of WLAN function","7","Insufficient anchoring of WLAN antenna",,"4","Design should provide for adequate anchoring such as more than 1 holding screw and optimized solder pad size for to facilitate good solder joint.
Design should account for possible interference during impact shock.",,"Drop Test
Tumble Test
Teardown Inspection",,"3","84","No",,,
"101","GPS","GPS Antenna breaking off during Drops","qualib482_pic1.png",,"QUAL-LIB-482",,"Loss of GPS function","7","Insufficient anchoring of WLAN antenna",,"4","Design should provide for adequate anchoring such as more than 1 holding screw and optimized solder pad size for to facilitate good solder joint.
Design should account for possible interference during impact shock.",,"Drop Test
Tumble Test
Teardown Inspection",,"3","84","No",,,
"102","Ultrasonic Welding","Ultrasonic welding mating surface failure causing top cover to detach","qualib536_pic1.png",,"QUAL-LIB-536","SPR 32837","Loss of function due to damage internal components when exposed","8","Plastic housing design and assembly design did not provide for adequate room to accommodate wiring assembly resulting to constant force load against ultrasonic welding surfaces.",,"4","Perform tolerance analysis on the assembly stack-up to ensure no interference between assembly component that could result to a constant pressure against ultrasonic welding surfaces.

Include use of pressure sensitive paper during ultrasonic welding job setup to verify parallelism between horn, fixture and component ensuring even amount of pressure along the mating surface. ","qualib536_pic2.png","Drop Test
Tumble Test
Teardown inspection of ultrasonic welding mating surfaces",,"3","96","Yes",,,
"103","VHB, Fasteners and Adhesives","Screw fastener head breaking off during mechanical stress","qualib583_pic1.png",,"QUAL-LIB-583",,"Screw loosening compromising structural integrity of product","7","Material selection of screw fastener requiring Zn plating process are susceptible to Hydrogen Embrittlement (HE) of screws which typically occurs as a result of the required acid bath for Zn electroplating. 
""Rock Candy"" morphology with characteristic ""crow's feet"" indicate inter-granular failure caused by HE.
","qualib583_pic2.png","4","Design should consider use of Stainless Steel screws instead of Zn plated (or any other plating e.g. Ni) to eliminate the need for acid bath required in electroplating process.
Consult galvanic series table to assess material compatibility.","qualib583_pic3.png","Drop Test
Tumble Test 
Teardown inspection checking for fractures on screws and other mechanical components.
In case of electro-plated screws, audit of supplier to verify post-plate baking is a controlled process (specifically time between plating and bake, temp., time of bake) and QC testing using ASTM F519",,"3","84","Yes",,,
"104","VHB, Fasteners and Adhesives","Touch Panel Assembly popping out during Drop test","qualib485_pic1.png",,"QUAL-LIB-485",,"Failure to operate","8","Contamination from VHB tape release liner reduced tape adhesion by 50%.
Double-sided Tape (DST) part drawing did not specify adhesive performance requirement for Peel Strength.","qualib485_pic2.png","4","Specify DST adhesion requirement on part drawing.
Define process control for VHB application i.e., assembly fixture, pressure and duration.
Compliance to Process Change Notification (PCN) requirements.",,"Perform peel strength measurement post Thermal Shock following ASTM3330.
Drop test across temperature
Tumble Test",,"3","96","No",,,
"105","VHB, Fasteners and Adhesives","Speaker Grill detaching during cold drops","qualib618_pic1.png",,"QUAL-LIB-618","SPR 39312","Distorted audio. Structural integrity compromised.","7","Mating surfaces are smooth which does not make good contact surface for adhesive.
Tolerance analysis indicating assembly stack-up e.g. housing flatness, grill flatness and press head flatness is larger than the adhesive thickness.
Flatness requirement not defined on plastic housing and grill.","qualib618_pic2.png","4","Design should avoid using adhesive on cosmetic area and bonding between different components solely relying on adhesive.  Design should incorporate specific features to ensure a stronger bond.

In cases where adhesives cannot be avoided,
Design should add mechanical features as reinforcement.
Design should define the flatness of related components and run tolerance analysis to ensure the adhesive can be fully bonded.

Process Controls for adhesive bonding,
Flatness of the press fixture should be considered.
Conduct pressure sensitive paper test at job setup to ensure fixture press head is operating properly.
Regular check on press head fixture for signs of wear out.
Clean mating surfaces either by plasma or IPA.
","qualib618_pic3.png","Drop Test across temperature
Tumble Test
Teardown inspection on mating surfaces bonded with adhesive",,"3","84","Yes",,,
"106","Soft Goods, Straps and Stylus","Hand Strap stitching coming loose","qualib486_pic1.png",,"QUAL-LIB-486","SPR 20171","Unstable grip on terminal.","4","Stitching is minimal and is constantly abraded when terminal is placed flat on back.",,"4","Hand strap stitching should be designed with double box stitching pattern.
Avoid placing hand strap stitching on area that will constantly be in contact with abrasive surfaces.","qualib486_pic2.png","Conduct cardboard abrasion test.",,"3","48","No",,,
"107","Soft Goods, Straps and Stylus","Hand Strap binds when terminal is inserted into charge cradle","qualib487_pic1.png",,"QUAL-LIB-487","SPR 19486
SPR 19040
SPR 11660","User inconvenience","4","Physical interference between the hand strap and the charge cradle.",,"4","All accessories must be checked for cross compatibility.  
The checking process would be facilitated if there is an existing comprehensive list of accessories and its corresponding design maturity.",,"Insertion testing on all cradles while integral accessories e.g. hand strap, tether, stylus are installed on the terminal.",,"3","48","No",,,
"108","Health Care","Housings are cracking in Healthcare environment","QUAL-LIB-496FM.PNG",,"QUAL-LIB-496","SPR 22057
SPR 28531
","Decrease/ loss of housing protection","6","Over-molding can result in tensile strains which make the material more susceptible to chemical attack.","QUAL-LIB-496RC1.PNG","4","Avoid designs requiring over-molding and two shot molding processes for Healthcare products.",,"Thermal Shock
Chemical Resistance Test
Drop Test
Tumble Test
Process Sign Off (PSO) by supply chain SDE check ensure the plastic molded parts are being made correctly, material dried correctly,
process controls in place at supplier.
",,"3","72","Yes",,,
"109","Health Care","Housings are cracking in Healthcare environment","QUAL-LIB-496FM.PNG",,"QUAL-LIB-496","SPR 22057
SPR 28531","Decrease/ loss of housing protection","6","Placement of fastening screws typically in the corners result to housing distortion during assembly causing significant tensile strain.","QUAL-LIB-496 RC2.PNG","4","Designs should space the assembly screws such that the unit uniformly compresses the seal without distorting the
housing.
",,"Thermal Shock
Chemical Resistance test
Drop Test
Tumble Test",,"3","72","No",,,
"110","Health Care","Housings are cracking in Healthcare environment","QUAL-LIB-496FM.PNG",,"QUAL-LIB-496 ","SPR 22057
SPR 28531","Decrease/ loss of housing protection","6","Use of Lexan 9330 which does not have good chemical resistance.  Cleaning agents used in the medical industry such as Vionexous and Virex are known to degrade the strength of plastics.
",,"4","Select plastic material that are resistant to cleaning agents used in health case environment.",,"Thermal Shock
Chemical Resistance Test",,"3","72","No",,,
"111","Health Care","Rubber bumpers coming off Aluminum housing
","QUAL-LIB-498FM.PNG",,"QUAL-LIB-498","SPR 26655","Decrease/ loss of rubber bumpers protection","6","Aggressive disinfectant chemical cleaners compromised the  acrylic based PSA used to adhere bumper to aluminum
housing.
",,"4","Do not use acrylic based adhesives for applications which require disinfectant cleaning. These applications require silicone based adhesives which can withstand rigorous cleaning found in Health Care environments.",,"Thermal Shock
Chemical Resistance Test
",,"3","72","No",,,
"112","Health Care","Resilience HC8230 warps at typical storage temperature & exposure to UV radiation",,,"QUAL-LIB-499",,"Degradation / loss of housing protection","6","Resilience HC8230 deflection temperature under load is 69.4°C which is relatively low.  Internal stresses relax and result in warpage. Zebra Internal testing (High Temp. Storage & UV Sunlight Exposure) revealed dimensional changes after exposure rendering the samples not usable.",,"4","Consider using Polyvinyl chloride alloy alternatives. Geon HTX M6215 extends heat distortion temperature above standard PVC (77.8°C vs 69.4°C) and has excellent low temperature impact performance.",,"Thermal Shock
Chemical Resistance Test
Storage Temperature Test
Solar Radiation Test
",,"3","72","No",,,
"113","Health Care","Corrosion on electrical contacts when exposed to bleach based disinfectants
","QUAL-LIB-500FM.PNG",,"QUAL-LIB-500",,"Function loss due to degradation in conductivity of electrical contacts","7","Corrosive nature of bleach based disinfectants.",,"4","Apply gold plating post stamping/ bending process to guarantee sufficient and consistent plating thickness and prevent any base material exposure which could result to corrosion.
Use disinfectant resistant epoxy coating/painting on exposed metal surfaces. Do not use any acrylic based paint or coatings.
",,"Thermal Shock
Chemical Resistance test
",,"3","84","No",,,
"114","Health Care","Plastic boss on battery pack housing holding the magnet is cracking","QUAL-LIB-584FM1.PNG","QUAL-LIB-584FM2.PNG","QUAL-LIB-584","SPR 30371","Plastic boss cannot hold magnet resulting to battery unable to be secured to terminal.","6","Magnet geometry interferes with the plastic boss dimension resulting to high stress concentration and makes the material more susceptible to effects of chemical attack.",,"4","Avoid interference in design. Conduct tolerance analysis of areas designed to be in a state of constant stress which can result in plastic cracking.
Minimize reveals and features in the design which can trap environmental substances that can adversely affect plastic components over time.",,"Thermal Shock
Enhanced chemical resistance test on battery standalone units including wipe test.",,"4","96","No",,,
"116","Health Care"," Inaudible user calls","QUAL-LIB-585FM.PNG",,"QUAL-LIB-585","SPR 34296","Unable to communicate with other users","8","Medical use requires frequent disinfection of devices with antiseptics that attack plastics and adhesives. Dust and debris, makeup particles and skin flakes get washed into a slurry that is then forced into the grill holes resulting to degradation of audio performance.",,"4","Designs for medical applications must use materials resistant to chemical attack such as PPSU plastics rather than PET or Polycarbonate. 
The design of audio holes should consider minimizing of clogging and add features to facilitate cleaning. 

",,"Thermal Shock
Chemical Resistance Test 
Dust Ingress Test
Clogging test developed from SPR 34296",,"3","96","No",,,
"117","Health Care"," PPSU power key falling off","QUAL-LIB-586FM.PNG",,"QUAL-LIB-586","SPR 35176","Difficult to activate power button.  Poor tactile feel.","6","Loctite 5055 used to bond the power button cap is not compatible with PPSU material which has high chemical resistance property required in healthcare industry.","QUAL-LIB-586RC.PNG","4","Design should consider use of mechanical retention feature to hold the power button cap instead of adhesive bonding specially with PPSU material. 

Alternative option is Liquid Injection Mold (LIM) process to bond PPSU and rubber. ",,"Thermal Shock
Chemical Resistance Test
Pull out force test",,"4","96","No",,,
"118","Health Care","Main housing cosmetic defect on secondary surface","QUAL-LIB-587FM.PNG",,"QUAL-LIB-587","SPR 34900
SPR 36059","Poor cosmetic appearance","3","Texturing of VDI-18 on PPSU plastic surface is too light making the surface susceptible to effects of sulfidation of the barrel of the injection molding machine.",,"4","Surface texturing should not be lighter than VDI-30 for PPSU plastic material.
",,"First Article Inspection.
Process Sign Off (PSO) at supplier injection molding process for tooling cleaning frequency.",,"6","72","No",,,
"119","Soft Goods, Straps and Stylus","Stylus tether breaks easily when pulled","qualib488_pic1.png",,"QUAL-LIB-488","SPR 18095","Unable to secure stylus to the terminal","4","Tether has insufficient tensile strength. The method of manufacturing the tether crimp result to weakening of the cord material.  Design of tether using in-elastic loop with elastic mid-region required over-molding process causing the tensile strength to be significantly reduced.",,"4","Pull force spec must be defined in the PRD.  Pull force should be near the maximum pull strength as outlined in safety breakaway guidelines.
Avoid use of elastic tethers that have inherently lower tensile strength compared to in-elastic tethers.
Avoid using metal crimp where it could be in close proximity of charge I/O contacts.",,"First Article Inspection to confirm conformance to pull force requirements.",,"4","64","No",,,
"120","Soft Goods, Straps and Stylus","Soft holster belt clip leather tears at attachment point to holster","qualib489_pic1.png",,"QUAL-LIB-489","SPR 28865","Holster can rotate freely as opposed to being stationary.","6","Tearing of the belt clip attachment to holster.  A rotating belt clip design is used for non-rotating application with stitching applied to restrict rotation.",,"3","Specify the correct component for the target application e.g. non-moving components for stationary applications.
Part drawing to specify the materials and components to be used in the assembly to prevent suppliers from using alternatives without proper notification to Zebra.  ",,"First article inspection.
Life cycle testing.",,"3","54","No",,,
"121","Soft Goods, Straps and Stylus","Nylon finger strap premature wear out","qualib490_pic1.png",,"QUAL-LIB-490","SPR 30584
SPR 43885","Unable to secure ring scanner to fingers","7","Lack of finger strap material durability required for the target use-case.
Double loop buckle design for the finger strap resulting to abrasion damage.
Single stitching on the finger strap velcro not adequate for the target use-case.",,"4","Use of stronger material for rugged use-case e.g. Hypalon or better.
Use of CAM buckle design instead of belt buckle to minimize abrasion damage to strap.
Specify double stitching or better on finger strap velcro.
Define life cycle requirement in PRD.",,"Life cycle testing of finger strap to validate all the components in the finger strap system i.e., Strap material, Buckle, Velcro and Stitching.  Ensure test method is simulating the actual use-case e.g. full insertion, tightening, loosening and removal.",,"3","84","No",,,
"122","Soft Goods, Straps and Stylus","Rubber finger strap premature wear out","qualib491_pic1.png","qualib491_pic2.png","QUAL-LIB-491","SPR 43885","Unable to secure ring scanners to fingers","7","Bumps on Silicon rubber finger strap design creates stress concentration resulting to weakening of the material leading to cracking and eventual breaking.",,"4","Use of stronger material for rugged use-case e.g. Hypalon or better.
Use of CAM buckle design instead of belt buckle to minimize abrasion damage to strap.
Specify double stitching or better on finger strap velcro.
Define life cycle requirement in PRD.",,"Life cycle testing of finger strap to validate all the components in the finger strap system i.e., Strap material, Buckle, Velcro and Stitching.
Ensure test method is simulating the actual use-case e.g. full insertion, tightening, loosening and removal.",,"3","84","No","https://jira.zebra.com/browse/SPR-43885",,
"123","Soft Goods, Straps and Stylus","Soft good holster housing zipper splitting apart","qualib537_pic1.png",,"QUAL-LIB-537","SPR 32715
SPR 28139","Unable to secure terminal to holster","4","Zipper separates because retention force of zipper pair is not strong enough to withstand force imparted by terminal specially when inserted upside down.  There is no design feature preventing the terminal from being inserted in reverse. ",,"4","Choose the correct zipper size to match the required retention force.  Larger zipper size provides larger retention force. Require zipper # 5 if used on holster housing.
Provide design features to allow terminal to be inserted only in the correct orientation.
",,"Insertion life test allowing for insertions to be performed asymmetrically from all possible orientations.",,"4","64","No",,,
"124","Labels and Regulatory","Labels placed on cable assembly are damaged due to wear location","qualib492_pic1.png","qualib492_pic2.png","QUAL-LIB-492","SPR 28248","Service is unable to recognize serial number and may not honor warranty.","6","Label falling off due to mounting location is at a high wear and contact area of the cable. No provision to place regulatory label on the device or in a low contact point area.",,"4","Design intentional recess area for labels that is low or minimal exposure during normal use.
Burn-in or print label contents on the part itself.
Apply protective overlay on label to avoid wearing out of label content.
Consider features such as wear beads to minimize label exposures.",,"Perform RCA abrasion test on label surface.",,"3","72","No",,,
"125","Scan Exit Window and Lens","Anti-reflective (AR) coating peeling off exit window","qualib494_pic1.png",,"QUAL-LIB-494",,"Barcode read failure","6","Poor anti reflective (AR) coating adhesion.  Breakdown of AR coating adhesion due to effects of high temperature and pressure during over-molding process resulting to premature wear-off in the field.",,"4","Scan window attachment design should avoid subjecting the window to over-molding process.
Define AR coating adhesion requirement in part drawing.
If possible, design application of AR coating on the inner side of the window to avoid physical contact.",,"First article inspection to verify conformance to AR coating adhesion requirements.",,"4","96","No",,,
"126","Scan Exit Window and Lens","Scan exit window falling off ","qualib495_pic1.png",,"QUAL-LIB-495",,"Damage due to exposed internal components.  Water and dust ingress.","7","Exit window mating surface design not optimized for ultrasonic welding.",,"4","Complete texturing coverage of ultrasonic welding mating surface.
Design for adequate energy director size for ultrasonic welding process. 
Ensure horn surface is parallel to the surface being welded during ultrasonic welding.",,"Thermal Shock
Drop Test 
Tumble Test
Exit window push out force test
Chemical test",,"3","84","Yes",,,
